Deprem,Borehole,Fault_Type,Mw,PGA,PGV,PGV2/PGA,lnIa,lnCAV5,R,R_star,Log_LSI,S,W,T15,NT,FC15,D5015,zcr,Vs,Observation,Reference
Niigata (1964),8.Dec,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.1,0.5,5.38,0.33,6,173.6,134.57,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.08,9.5,0.3,7.55,0.35,6,173.6,125.16,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.19,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.06,10,3,6.5,0.25,7,173.6,114.73,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.30,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0,1.75,1.25,5.5,0.48,1.25,173.6,72.92,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.35,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0,4.4,2.6,8,0.15,2.6,173.6,145.55,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.37,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.4,2.6,12,0.29,4.3,173.6,210.78,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.43,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,0,11,0,0,12,173.6,35,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),9.Jan,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.11,3.19,0.86,5,0.35,0.86,173.6,78.84,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),10.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2,1.5,8,0.15,1.5,173.6,77,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),11.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0.21,3.5,0,8,0.15,4.5,173.6,130.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),14.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.7,1.1,0,0.01,1.5,173.6,48,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),72-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.92,0.48,5.5,1.06,0.48,173.6,153,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),78-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,10,0,0,11.1,0,0,13,173.6,148,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-3,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.66,0.32,0,9.5,0,0,9.5,176,21,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-4,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,3.03,0.21,6.8,7.8,12.8,0.3,18.5,176,21,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-8,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.66,0.26,11.87,2.03,7.92,0.35,13,176,139.86,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-9,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7,2.5,12,0.18,0.8,176,75.84,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-11,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.06,9.6,0.6,8,0.15,3.5,176,83,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,11.4,0.55,10.1,0.34,0.55,176,89.13,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,10.11,0.8,6.2,0.27,3.89,176,156.94,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-14,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.11,3.69,3.01,8,0.15,5,176,113,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-15,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,8.95,1.1,4,0.48,1.1,176,187.12,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-16,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,11.95,1.45,5.17,0.39,1.85,176,116,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-19,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,8.7,0.9,5.33,0.33,0.9,176,177.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-20,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.16,8.7,1,5.67,0.31,1,176,177.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-21,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.16,5.7,0.9,6.5,0.25,0.9,176,177.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-22,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.16,5.1,0.9,5.2,0.4,0.8,176,177.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-23,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.16,7.45,0.8,5.38,0.64,0.8,176,177.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-24,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,1.05,7.75,0.45,5.71,0.39,10.4,176,189.07,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-25,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,1.05,8.9,1.1,2.33,0.64,3,176,189.07,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-26,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,1.05,9.1,1.7,4.78,0.41,1.7,176,189.07,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.6,1.6,19,0.24,2,176,21,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.98,5.4,3,7,0.22,9.6,176,68.59,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-3,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.98,4.79,4,8,0.15,9.1,176,68.59,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-4,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.98,4.6,4.5,7,0.22,4.5,176,68.59,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-7,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,5.17,11.7,0.6,14.08,0.33,1.5,176,152.13,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-8_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.84,2,4.4,2,12.8,0.3,7.1,176,103,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-8_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.84,2,4.4,2,12.8,0.3,7.1,176,183.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,2.8,10.6,3.6,6,0.6,3.6,176,43,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-15,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,11.57,1.93,5,0.35,1.93,176,112,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-16,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.5,0.5,5,0.35,1.5,176,112,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-19,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7.4,2,6.43,0.41,9,176,63.95,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F11-21,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.75,0,8.33,0.32,0.1,176,15,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F12-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.28,7.4,0,8.83,0.23,0.01,176,22,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.6,1.1,5,0.35,5.5,169,96.66,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-11,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7.4,1.25,12.14,0.17,5,169,172.97,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.9,0,9.4,0.14,0.5,169,168.53,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.7,2.3,8,0.15,2.3,169,157.63,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-14,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,8.5,1.5,11.25,0.19,6,169,131,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-15,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.4,1.4,8,0.15,8,169,187.78,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-16_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.14,1.52,6.5,1.7,9.83,0.33,1.7,169,61,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-16_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.14,0.97,6.5,1.7,9.83,0.33,1.7,169,150,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-16_3,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.14,1.04,6.5,1.7,9.83,0.33,1.7,169,91,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-24,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.28,0.3,18.33,0.22,1.01,169,121,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-25,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7.38,0.25,11.13,0.33,0.25,169,121,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-26,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.08,1.5,3.3,5,0.35,3.3,169,39,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-32,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2.18,0.9,12.67,0.08,2.35,169,32.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G9-33,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.14,2.85,1.65,5,0.35,1.65,169,65,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,12.6,0.4,5.75,0.3,0.4,169,180.99,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-20,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.07,0,8.2,0,0,1.7,169,33,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-26,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.16,9.93,1.4,16.67,0.28,3.12,169,47.04,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-27,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.15,10.8,0.7,28.33,3.33,14.9,169,50.34,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-28,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,1.31,7.45,0,12,0.31,5,169,35.64,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-29,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.07,6.3,1.8,5,0.35,4,169,37.19,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-30,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.43,0.08,7.5,2.5,5,0.35,2.5,169,57.03,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-31,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.07,7.3,4.2,5.86,0.29,4.2,169,16,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-33,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.84,0.09,6.7,1.8,5,0.35,11.2,169,248.09,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-34,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.08,5.6,2,5,0.35,2,169,165.81,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-35,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.5,2,4.1,0.43,2,169,121.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-36,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.65,2,5,0.35,2,169,121.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-47,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.68,9.25,2.7,8.22,0.26,4,169,274.81,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-48,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.78,7.4,2.5,15,0.3,4.5,169,440.28,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-49_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,10.64,7.45,0.9,7.6,0.24,2.75,169,322.39,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-49_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,10.64,7.45,0.9,7.6,0.24,2.75,169,81.26,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-50_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,11.95,9.96,0.9,13.7,0.25,3.3,169,361.52,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-50_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,11.95,9.96,0.9,13.7,0.25,3.3,169,80.88,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-51,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,19.72,3.59,2.7,7.4,0.19,3.74,169,371.54,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-52_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.7,9.2,0.9,3.33,0.49,3.5,169,180,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-52_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.7,9.2,0.9,3.33,0.49,3.5,169,235.39,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-53_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,1.08,16,0.9,5,0.35,4.8,169,606,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-53_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,1.08,16,0.9,5,0.35,4.8,169,281.38,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-54_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.6,10.4,0.9,5,0.36,2.1,169,326.42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-54_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.6,10.4,0.9,5,0.36,2.1,169,219.99,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-55,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.85,11.9,0.9,6,0.28,1.2,169,380.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-56,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,1.08,10.6,0.9,5.55,0.31,2,169,616.5,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-57,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.92,13.1,0.9,5,0.35,2.5,169,472.95,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-58,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,1.72,7,2,5.43,0.32,2,169,512.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-59,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,1.79,2,2,5,0.35,2,169,230.25,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
