Deprem,Borehole,Fault_Type,Mw,PGA,PGV,PGV2/PGA,lnIa,lnCAV5,R,R_star,Log_LSI,S,W,T15,NT,FC15,D5015,zcr,Vs,Observation,Reference
Niigata (1964),G10-60,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,0,8.5,1,5.6,0.64,2.5,169,230.25,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-61,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,0,8,1,5.5,0.71,3,169,230.25,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-62,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,0,8.4,1.1,5,0.35,3.5,169,230.25,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-69,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.5,4.5,23.5,0.16,4.5,169,165.58,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-70,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7.28,4.72,7.67,0.45,4.72,169,57.41,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-77,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0,0.7,0.8,5,0.35,0.8,169,86,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-82,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,0,2.4,1.4,6,1.13,1.4,169,6,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G10-83,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0,0.9,0.5,10,0.15,1.1,169,75,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G11-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.7,0.95,9,0.43,3.5,169,93,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G11-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2.15,1.35,10,0.23,1.7,169,93,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G11-6,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,0.7,3.3,5,0.35,3.3,173.6,124.05,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G11-7,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.08,0.32,2.5,0.18,0.32,173.6,97,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),G11-13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2.3,0.4,4,0.08,1.4,173.6,62.47,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-1a,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.95,1.65,5,0.35,3.9,179,162.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-2a,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7.55,1.4,5.2,0.4,1.4,179,162.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-6,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,12.8,0.2,5.33,0.43,1.4,179,145,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-7,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.95,0.45,5.22,0.41,3,179,145,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-9,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,11.45,0.9,7,0.22,0.9,179,107.42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-10,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,13.3,0.7,5,0.35,2.6,179,107.42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-11,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,8.85,0.65,2,0.35,0.65,179,107.42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,12.35,1.15,5,0.18,2.6,179,107.42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.5,1.2,7.8,0.31,1.2,179,107.42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-39,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.5,2.5,6.83,0.39,2.8,179,229.3,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-40,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.8,3.3,5.75,0.3,3.3,179,255.24,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-41,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6,5,5,0.35,10,179,427,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-42,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.4,2.1,5.75,0.3,2.1,179,271.11,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-43,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.8,2.9,6.8,0.23,2.9,179,271.11,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-44,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.65,3.1,5.5,0.48,1.7,179,130.33,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-45,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.85,2.45,5.6,0.31,8,179,103.15,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-46,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4,3,11,0.28,3,179,54,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),H10-47,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.84,0,2.8,4.2,5,0.35,7,179,65,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I8-5,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2.6,0.4,5,0.35,0.4,173.6,52.55,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I8-6,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2.5,0.5,5,0.35,0.5,173.6,18,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I8-10,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,4.18,0.22,3.55,2.45,5,0.35,2.45,173.6,56,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I8-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,3.84,0.56,0,10,0,0,10,173.6,47,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I8-13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,9.08,1.9,2,0,10,0.23,0.65,173.6,48,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I8-14,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,9.08,0.61,4.95,0,5,0.35,0.1,173.6,39,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-4,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.9,0,3,0,10.33,0.13,1.2,173.6,111.07,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-5,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.05,0,8,0.15,3.25,173.6,249,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-6,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.4,0,8,0.41,1.2,173.6,157.4,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-7,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.5,0.3,7.43,0.43,6.5,173.6,254.9,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-8,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.2,0.6,5.67,0.52,0.6,173.6,60.68,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-11,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,0.65,6.35,5,0.35,6.35,173.6,51.14,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),I9-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,0.65,8.35,5,0.35,8.35,173.6,74.94,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J7-8a,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0,7.18,0.12,5.67,0.36,2,173.6,300.15,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J7-8b,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0,7.4,0.6,12,0.54,3,173.6,300.15,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J8-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.59,0,0.92,2.08,5,0.35,2.08,173.6,168.89,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J8-2_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.2,6,0,5.5,0.48,2,173.6,531.49,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J8-2_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.2,6.5,0,5.4,0.45,2,173.6,386,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J8-3,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.03,2.97,5.5,0.48,4.2,173.6,220,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J8-4,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.95,0.35,13.8,0.36,1.8,173.6,177,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),J9-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3,2,8,0.15,3,173.6,187.6,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),K8-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.03,1.87,5.75,0.54,1.87,173.6,352,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),K8-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.75,3.25,6,0.6,3.25,173.6,139.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),K8-7,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.23,1.87,5.33,0.43,1.87,173.6,69,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),K8-8,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.75,3.25,6,0.6,3.25,173.6,69,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),K8-9,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.48,2.52,6.4,0.32,2.52,173.6,69,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),K9-11,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.1,1,3.33,0.24,4.3,173.6,76,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),QK-1_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.2,2.55,1.05,7,0.25,1.05,173.6,482.72,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),QK-1_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.2,2.55,1.05,7,0.25,1.05,173.6,386,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),QK-2_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.2,3.3,1.7,9.67,0.2,1.7,173.6,483,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),QK-2_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.39,3.3,1.7,9.67,0.2,1.7,173.6,260,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Northridge (1994),,Reverse,6.7,0.52,27.27,1.46,-0.2,9.02,10,12.1,0.68,1,0,2.65,6.4,35,0.05,7.5,143,100,"Al Bawwab, Kramer (2006) Fault type buradan alındı"
Northridge (1994),,Reverse,6.7,0.52,27.27,1.46,-0.2,9.02,10,12.1,0.68,1,0,2.2,8.3,21.2,0.06,9,143,100,"Al Bawwab, Kramer (2006) Fault type buradan alındı"
San Fernando (1971),54,Reverse-oblique,6.4,0.55,62.51,7.24,0.16,7.15,0.2,1.34,3.57,1.23,0,5.2,4.48,35,0.04,6.86,167,168,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),55,Reverse-oblique,6.4,0.55,62.51,7.24,0.16,7.15,0.2,1.34,3.57,1.23,0,2.31,5.5,35,0.04,7.81,161,51,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),56,Reverse-oblique,6.4,0.55,62.51,7.24,0.16,7.15,0.2,1.34,3.57,1.23,0,4.73,8.38,35,0.06,9.22,179,122,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),57,Reverse-oblique,6.4,0.55,62.51,7.24,0.16,7.15,0.2,1.34,3.57,1.23,0,3.25,5.79,35,0.04,6.67,154,168,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),58,Reverse-oblique,6.4,0.55,62.51,7.24,0.16,7.15,0.2,1.34,3.57,1.23,0,14.15,4.27,35,0.06,4.27,165,168,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),BH22,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,6.32,5,15,47,0.08,16,,14.69,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),BH26,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,6.32,6,14,47,0.08,5,,13.94,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),D10,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,5.11,8.5,7,47,0.08,10.5,,13.81,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH6,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,20.3,7.17,12.3,47,0.08,12.3,,285.72,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH7,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,5.11,8.1,9.4,47,0.08,10.5,,36.5,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH8,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,19.75,5.66,14.2,47,0.08,14.5,,247.94,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH9,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,13.59,3.1,11.4,47,0.08,11.4,,173.98,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH11,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,5.08,10,10,47,0.08,12,,38.77,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH12,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,5.11,10.2,10.3,47,0.08,10.3,,37.32,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH13,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,5.11,0,7,0,0,7,,14.33,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH15,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,13.59,4.67,2,47,0.08,2.7,,168.22,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH16,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,19.75,8.68,9.78,47,0.08,14.5,,250.27,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),DH17,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,20.3,6.5,1.8,47,0.08,1.8,,289.74,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Fernando (1971),WC27A,Reverse-oblique,6.4,0.55,58.75,6.4,0.15,7.15,0.5,1.64,2.83,0,19.75,7.5,10.3,47,0.08,11,,32.71,"Hasançebi, Kramer (2006) Fault type buradan alındı, Vsler Al Bawwabtan alındı"
San Simeon (2003),2,Reverse,6.5,0.12,22.67,4.37,-0.43,8.21,10,11.4,0.5,1,0,1,2.25,15,0.9,2.75,158,30,Al Bawwab
San Simeon (2003),3,Reverse,6.5,0.12,22.67,4.37,-0.43,8.21,10,11.4,0.5,1,0,1,3.1,15,0.9,3.6,157,30,Al Bawwab
San Simeon (2003),4,Reverse,6.5,0.12,22.67,4.37,-0.43,8.21,10,11.4,0.5,1,0,1,3.6,15,0.09,4.1,144,30,Al Bawwab
San Simeon (2003),7,Reverse,6.5,0.12,22.67,4.37,-0.43,8.21,10,11.4,0.5,0.1,0,3,3.25,15,0.9,5.5,187,30,Al Bawwab
San Simeon (2003),8,Reverse,6.5,0.12,22.67,4.37,-0.43,8.21,10,11.4,0.5,0.1,0,3.8,3.05,15,0.9,3.8,178,20,Al Bawwab
San Simeon (2003),9,Reverse,6.5,0.12,22.67,4.37,-0.43,8.21,10,11.4,0.5,0.1,0,3.8,1.05,35,0.05,4.1,175,10,Al Bawwab
Superstition Hills (1987),110,Strike-Slip,6.6,0.47,78.36,13.32,1.97,8.45,10,11.71,0.59,0.47,41.38,3.22,3.05,22,0.09,4.88,139,20,"Al Bawwab, Kostadinov 2002"
Superstition Hills (1987),111,Strike-Slip,6.6,0.47,78.36,13.32,1.97,8.45,10,11.71,0.59,0.47,41.38,3.22,3.05,22,0.09,4.88,139,23,"Al Bawwab, Kostadinov 2002"
Superstition Hills (1987),112,Strike-Slip,6.6,0.47,78.36,13.32,1.97,8.45,10,11.71,0.59,0.47,17.91,3.06,2.6,28.54,0.07,5.03,151,18,"Al Bawwab, Kostadinov 2002"
Superstition Hills (1987),113,Strike-Slip,6.6,0.47,78.36,13.32,1.97,8.45,10,11.71,0.59,0.47,13.11,1.6,3.1,26,0.09,3.9,164,10,"Al Bawwab, Kostadinov 2002"
Superstition Hills (1987),114,Strike-Slip,6.6,0.47,78.36,13.32,1.97,8.45,10,11.71,0.59,0.47,17.52,1.6,3.25,33,0.09,3.5,157,10,"Al Bawwab, Kostadinov 2002"
Superstition Hills (1987),115,Strike-Slip,6.6,0.47,78.36,13.32,1.97,8.45,10,11.71,0.59,0.47,7.5,0.9,3,24.56,0.08,3.2,149,0,"Al Bawwab, Kostadinov 2002"
Tokachi-Oki (2003),P1,Reverse,7.9,0.31,39.9,5.24,,13.74,10,34.6,1.76,0.1,0,1,7.5,5,1,11,182,20,"Al Bawwab, Kostadinov 2002"
Tokachi-Oki (2003),T1,Reverse,7.9,0.31,39.9,5.24,,13.74,10,34.6,1.76,0.1,0,1,6.5,5,1,11,187,14,"Al Bawwab, Kostadinov 2002"